M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,12.270016,12.700905,19.674964,24.634545,35.768452,49.141435
7.25,7.941817,8.055979,9.282781,14.681506,19.909159,27.408014
7.50,5.087609,5.114725,5.271847,8.887466,11.260876,15.937114
7.75,3.306680,3.262400,4.635482,6.285043,9.309416,13.217193
8.00,3.619540,2.663896,3.713524,5.289627,7.867551,11.808655
8.25,3.438880,2.082332,2.589245,4.053674,6.370695,9.981454
8.50,3.554981,1.437623,2.100501,3.288977,5.398438,8.727634
8.75,3.655724,1.163533,1.711079,2.817264,4.812409,7.974592
9.00,3.724617,0.950025,1.473349,2.504185,4.429560,7.512443
9.25,3.776630,0.806647,1.298245,2.285276,4.153591,7.182735
9.50,3.801658,0.712497,1.185756,2.144104,3.980343,6.979730
9.75,3.813823,0.657267,1.118413,2.062932,3.882703,6.642104
