M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,207.8655,0.4401214,5.814,1.763
7.25,134.7193,0.1455722,4.7899,0.70315
7.5,86.059,0.107212,2.3165,0.67223
7.75,54.0471,0.03238439,1.4916,0.25271
8.0,33.57045,0.04658147,0.7952,0.3092
8.25,20.48606,0.01611356,0.3977,0.1056
8.5,12.23931,0.0140769,0.19974,0.077223
8.75,7.174603,0.003643742,0.10842,0.018029
9.0,4.115919,0.002494248,0.05876,0.02656
9.25,2.294079,0.002743456,0.03633,0.01304
9.5,1.2430571,0.00070513242,0.01637,0.0052646
9.75,0.651943,0.0007798144,0.007811,0.002608
