M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,11.343781,11.548581,14.733040,21.419317,29.758293,40.992972
7.25,7.374699,7.419209,7.615278,12.501028,15.320936,22.531902
7.50,4.748372,4.738005,4.835593,7.559121,9.667025,14.290213
7.75,3.483250,3.066530,4.325605,5.867006,8.615223,12.259125
8.00,3.564300,2.033063,3.328911,4.632940,7.130787,10.806212
8.25,3.275660,2.376771,3.437505,5.118007,7.892989,11.845752
8.50,3.310856,1.865430,2.626166,4.013343,6.370886,9.952374
8.75,3.424159,1.476435,2.124649,3.375775,5.578688,8.942527
9.00,3.568319,1.222130,1.850250,3.003288,5.068849,8.305609
9.25,3.694017,0.995224,1.543490,2.600985,4.552702,7.664561
9.50,3.749629,0.859750,1.371266,2.379851,4.271192,12.134983
9.75,3.787641,0.752633,1.235991,2.208536,6.379035,6.379035
