M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,186.4456,0.2452278,3.1553,0.56706
7.25,121.3453,0.2897151,2.3637,0.6331
7.5,78.1088,0.115779,1.03,0.47169
7.75,49.49664,0.06405211,0.6089,0.3633
8.0,30.97971,0.05160455,0.30054,0.078598
8.25,18.91109,0.0329132,0.2018,0.1279
8.5,11.31422,0.01047614,0.06886,0.049
8.75,6.68263,0.0120018,0.04858,0.02365
9.0,3.839326,0.005283549,0.02391,0.01009
9.25,2.151268,0.002787733,0.011693,0.0079228
9.5,1.169751,0.001656061,0.006894,0.003712
9.75,0.615306,0.00100189,0.003251,0.002427
