0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
6.7462e-06 ± 1.4436e-07,6.7462e-06 ± 1.4436e-07,6.7462e-06 ± 1.4436e-07,6.7462e-06 ± 1.4436e-07,3.3378e-06 ± 1.2651e-07,1.7129e-06 ± 1.0628e-07,9.3485e-07 ± 6.5216e-08,2.6470e-07 ± 4.6353e-08,6.661e-08 ± 1.685e-08,9.378e-09 ± 5.714e-09,BKG:ff_HW
6.6355e-06 ± 1.3772e-07,6.6355e-06 ± 1.3772e-07,6.6355e-06 ± 1.3772e-07,6.6355e-06 ± 1.3772e-07,3.26849e-06 ± 7.53694e-08,1.66225e-06 ± 6.61521e-08,8.9399e-07 ± 4.3141e-08,2.6187e-07 ± 3.7016e-08,6.290e-08 ± 1.176e-08,8.626e-09 ± 7.495e-09,BKG:ff_HZ
7.4307e-01 ± 4.0667e-02,7.4307e-01 ± 4.0667e-02,7.4307e-01 ± 4.0667e-02,7.4307e-01 ± 4.0667e-02,3.951e-02 ± 1.571e-02,3.291e-03 ± 3.004e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
9.1884e-01 ± 2.1129e-02,9.1884e-01 ± 2.1129e-02,9.1884e-01 ± 2.1129e-02,9.1884e-01 ± 2.1129e-02,4.737e-02 ± 3.578e-02,1.967e-03 ± 4.398e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
3.23729e-02 ± 8.77051e-04,3.23729e-02 ± 8.77051e-04,3.23729e-02 ± 8.77051e-04,3.23729e-02 ± 8.77051e-04,2.20801e-02 ± 4.95549e-04,1.35570e-02 ± 4.03881e-04,8.1686e-03 ± 3.7449e-04,2.7878e-03 ± 2.1930e-04,6.137e-04 ± 1.144e-04,5.145e-05 ± 2.040e-05,BKG:ff_WW_bkg
9.0503e-04 ± 3.5959e-05,9.0503e-04 ± 3.5959e-05,9.0503e-04 ± 3.5959e-05,9.0503e-04 ± 3.5959e-05,3.1582e-04 ± 1.3863e-05,1.10721e-04 ± 8.56066e-06,4.2785e-05 ± 5.1369e-06,7.496e-06 ± 2.514e-06,4.467e-07 ± 9.989e-07,0.000e+00 ± 0.000e+00,BKG:ff_ZW_bkg
8.44290e-04 ± 7.50647e-06,8.44290e-04 ± 7.50647e-06,8.44290e-04 ± 7.50647e-06,8.44290e-04 ± 7.50647e-06,4.69517e-04 ± 4.59847e-06,2.60994e-04 ± 7.80437e-06,1.53309e-04 ± 4.21959e-06,4.7354e-05 ± 5.1888e-06,1.0089e-05 ± 1.9146e-06,1.0611e-06 ± 3.6354e-07,BKG:ff_gmZgmZ_bkg
3.0456e-03 ± 1.5586e-04,3.0456e-03 ± 1.5586e-04,3.0456e-03 ± 1.5586e-04,3.0456e-03 ± 1.5586e-04,1.9181e-03 ± 1.3567e-04,1.12972e-03 ± 7.92377e-05,6.5386e-04 ± 7.1630e-05,2.0676e-04 ± 3.7548e-05,6.223e-05 ± 2.623e-05,8.711e-06 ± 3.381e-06,BKG:ffbar_Wgm
2.3947e-03 ± 3.7092e-04,2.3947e-03 ± 3.7092e-04,2.3947e-03 ± 3.7092e-04,2.3947e-03 ± 3.7092e-04,6.843e-04 ± 2.905e-04,2.057e-04 ± 1.492e-04,1.1434e-04 ± 8.1111e-05,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
2.68937e-04 ± 3.39646e-06,2.68937e-04 ± 3.39646e-06,2.68937e-04 ± 3.39646e-06,2.68937e-04 ± 3.39646e-06,1.39547e-04 ± 2.21890e-06,5.8021e-05 ± 1.4971e-06,2.4986e-05 ± 1.0433e-06,3.3629e-06 ± 3.3864e-07,3.2856e-07 ± 8.6006e-08,2.348e-08 ± 2.143e-08,BKG:gg_Httbar
